date,value
1956-01-01,27.1736
1956-02-01,27.6564
1956-03-01,28.5289
1956-04-01,29.285
1956-05-01,29.6299
1956-06-01,30.263
1956-07-01,30.7252
1956-08-01,31.0855
1956-09-01,31.4451
1956-10-01,31.8895
1956-11-01,32.2609
1956-12-01,32.473
1957-01-01,32.687
1957-02-01,32.6895
1957-03-01,33.0407
1957-04-01,33.3856
1957-05-01,33.6362
1957-06-01,34.0596
1957-07-01,34.3749
1957-08-01,34.5961
1957-09-01,34.5474
1957-10-01,34.4197
1957-11-01,34.3325
1957-12-01,33.8853
1958-01-01,34.6988
1958-02-01,34.8623
1958-03-01,34.7528
1958-04-01,34.5718
1958-05-01,34.4375
1958-06-01,34.2718
1958-07-01,34.1831
1958-08-01,34.3612
1958-09-01,34.5237
1958-10-01,34.7518
1958-11-01,34.9156
1958-12-01,34.9489
1959-01-01,35.213
1959-02-01,35.2201
1959-03-01,35.1304
1959-04-01,35.5581
1959-05-01,36.3064
1959-06-01,37.1404
1959-07-01,37.6645
1959-08-01,38.089
1959-09-01,38.2605
1959-10-01,38.4113
1959-11-01,38.6978
1959-12-01,39.2932
1960-01-01,39.6291
1960-02-01,39.7872
1960-03-01,40.018
1960-04-01,40.5152
1960-05-01,40.8926
1960-06-01,41.3564
1960-07-01,41.3958
1960-08-01,41.3249
1960-09-01,41.4006
1960-10-01,41.5247
1960-11-01,41.6827
1960-12-01,42.1051
1961-01-01,42.0358
1961-02-01,41.9503
1961-03-01,42.0518
1961-04-01,42.2127
1961-05-01,42.1342
1961-06-01,42.4519
1961-07-01,42.5813
1961-08-01,42.6567
1961-09-01,42.7707
1961-10-01,42.9778
1961-11-01,43.1337
1961-12-01,43.7997
1962-01-01,43.9853
1962-02-01,43.8688
1962-03-01,44.1012
1962-04-01,44.5398
1962-05-01,44.8413
1962-06-01,45.5419
1962-07-01,45.7268
1962-08-01,45.9234
1962-09-01,46.3736
1962-10-01,46.8487
1962-11-01,47.1998
1962-12-01,47.4376
1963-01-01,47.6623
1963-02-01,47.8294
1963-03-01,47.9739
1963-04-01,48.3917
1963-05-01,48.649
1963-06-01,49.2469
1963-07-01,49.4664
1963-08-01,49.4768
1963-09-01,49.8225
1963-10-01,50.4111
1963-11-01,51.2382
1963-12-01,52.1741
1964-01-01,52.4186
1964-02-01,52.5482
1964-03-01,52.7139
1964-04-01,53.229
1964-05-01,53.7445
1964-06-01,54.2937
1964-07-01,54.7159
1964-08-01,55.1046
1964-09-01,55.7749
1964-10-01,56.2908
1964-11-01,56.8628
1964-12-01,58.3481
1965-01-01,59.241
1965-02-01,60.0693
1965-03-01,61.1489
1965-04-01,62.1331
1965-05-01,62.925
1965-06-01,64.1511
1965-07-01,64.8904
1965-08-01,65.4792
1965-09-01,66.3883
1965-10-01,67.05
1965-11-01,67.754
1965-12-01,69.1577
1966-01-01,69.9831
1966-02-01,70.683
1966-03-01,71.521
1966-04-01,72.3728
1966-05-01,73.3273
1966-06-01,75.3919
1966-07-01,76.7826
1966-08-01,76.9939
1966-09-01,77.4883
1966-10-01,78.0104
1966-11-01,78.3726
1966-12-01,78.976
1967-01-01,79.274
1967-02-01,79.558
1967-03-01,80.1231
1967-04-01,81.185
1967-05-01,81.6022
1967-06-01,82.6929
1967-07-01,83.7351
1967-08-01,83.5123
1967-09-01,83.7365
1967-10-01,84.1043
1967-11-01,84.5959
1967-12-01,86.1397
1968-01-01,86.5509
1968-02-01,86.5981
1968-03-01,87.114
1968-04-01,88.421
1968-05-01,88.9726
1968-06-01,89.9295
1968-07-01,91.0358
1968-08-01,91.2381
1968-09-01,91.8452
1968-10-01,92.8125
1968-11-01,94.47
1968-12-01,96.2065
1969-01-01,97.1481
1969-02-01,98.2963
1969-03-01,99.2383
1969-04-01,100.7715
1969-05-01,101.9454
1969-06-01,102.5404
1969-07-01,103.0557
1969-08-01,103.3067
1969-09-01,103.8176
1969-10-01,104.3372
1969-11-01,105.1854
1969-12-01,106.5979
1970-01-01,106.2979
1970-02-01,105.6953
1970-03-01,105.4128
1970-04-01,105.6766
1970-05-01,106.0118
1970-06-01,106.8358
1970-07-01,107.677
1970-08-01,108.5407
1970-09-01,109.5289
1970-10-01,109.774
1970-11-01,110.1744
1970-12-01,111.3578
1971-01-01,111.5479
1971-02-01,111.8951
1971-03-01,111.9877
1971-04-01,112.1496
1971-05-01,113.0615
1971-06-01,114.1265
1971-07-01,114.3772
1971-08-01,115.6802
1971-09-01,116.6745
1971-10-01,117.268
1971-11-01,117.8104
1971-12-01,117.7961
1972-01-01,118.1645
1972-02-01,118.8982
1972-03-01,119.691
1972-04-01,121.2319
1972-05-01,122.692
1972-06-01,123.7672
1972-07-01,124.6817
1972-08-01,126.0083
1972-09-01,126.9574
1972-10-01,129.0908
1972-11-01,131.5901
1972-12-01,133.1093
1973-01-01,135.4135
1973-02-01,140.7983
1973-03-01,144.9576
1973-04-01,147.5343
1973-05-01,149.9659
1973-06-01,152.8292
1973-07-01,155.3291
1973-08-01,158.0681
1973-09-01,158.5066
1973-10-01,159.1694
1973-11-01,159.9353
1973-12-01,161.2113
1974-01-01,163.0226
1974-02-01,164.772
1974-03-01,168.8168
1974-04-01,174.9909
1974-05-01,177.6309
1974-06-01,180.1082
1974-07-01,183.9873
1974-08-01,186.3819
1974-09-01,187.9941
1974-10-01,189.2302
1974-11-01,190.4047
1974-12-01,191.2761
1975-01-01,191.5869
1975-02-01,190.3805
1975-03-01,188.1191
1975-04-01,187.4109
1975-05-01,186.074
1975-06-01,184.638
1975-07-01,183.651
1975-08-01,182.9282
1975-09-01,182.822
1975-10-01,182.7142
1975-11-01,182.6189
1975-12-01,183.3586
1976-01-01,182.6481
1976-02-01,182.0444
1976-03-01,179.4877
1976-04-01,177.4755
1976-05-01,178.4326
1976-06-01,179.102
1976-07-01,179.1423
1976-08-01,179.7949
1976-09-01,181.1732
1976-10-01,182.4383
1976-11-01,183.9005
1976-12-01,185.2478
1977-01-01,185.7874
1977-02-01,187.4113
1977-03-01,189.1547
1977-04-01,190.2948
1977-05-01,191.7797
1977-06-01,193.5548
1977-07-01,195.1835
1977-08-01,197.4881
1977-09-01,198.9991
1977-10-01,201.2545
1977-11-01,202.9397
1977-12-01,204.6774
1978-01-01,207.2931
1978-02-01,210.259
1978-03-01,213.6058
1978-04-01,216.9979
1978-05-01,220.4005
1978-06-01,223.4759
1978-07-01,226.2258
1978-08-01,228.3623
1978-09-01,230.5011
1978-10-01,232.9249
1978-11-01,235.8062
1978-12-01,237.2394
1979-01-01,239.757
1979-02-01,243.8766
1979-03-01,247.8933
1979-04-01,253.7609
1979-05-01,258.7349
1979-06-01,263.4815
1979-07-01,267.8631
1979-08-01,270.6452
1979-09-01,274.3761
1979-10-01,276.1506
1979-11-01,277.2382
1979-12-01,279.7257
1980-01-01,281.8501
1980-02-01,285.6731
1980-03-01,289.3844
1980-04-01,290.6018
1980-05-01,287.8784
1980-06-01,287.0378
1980-07-01,288.0583
1980-08-01,291.4491
1980-09-01,294.7925
1980-10-01,299.9573
1980-11-01,307.3743
1980-12-01,312.0383
1981-01-01,312.4522
1981-02-01,313.117
1981-03-01,314.3933
1981-04-01,318.5024
1981-05-01,324.08
1981-06-01,328.1726
1981-07-01,331.8571
1981-08-01,336.523
1981-09-01,338.1155
1981-10-01,341.1989
1981-11-01,345.5088
1981-12-01,350.3077
1982-01-01,354.8455
1982-02-01,360.7137
1982-03-01,363.9746
1982-04-01,371.0565
1982-05-01,375.9823
1982-06-01,380.5642
1982-07-01,384.0437
1982-08-01,385.8593
1982-09-01,391.0385
1982-10-01,392.3917
1982-11-01,391.9751
1982-12-01,392.0419
1983-01-01,393.1864
1983-02-01,393.3556
1983-03-01,393.8048
1983-04-01,392.4259
1983-05-01,391.4906
1983-06-01,393.8395
1983-07-01,397.7945
1983-08-01,401.5866
1983-09-01,402.529
1983-10-01,405.7486
1983-11-01,409.6174
1983-12-01,413.9404
1984-01-01,415.6054
1984-02-01,423.5808
1984-03-01,430.9463
1984-04-01,437.8374
1984-05-01,446.3183
1984-06-01,450.9723
1984-07-01,455.8009
1984-08-01,458.7925
1984-09-01,461.9148
1984-10-01,466.3545
1984-11-01,470.9618
1984-12-01,473.3524
1985-01-01,472.9425
1985-02-01,475.7257
1985-03-01,480.4268
1985-04-01,479.2016
1985-05-01,480.8088
1985-06-01,482.251
1985-07-01,487.0961
1985-08-01,489.9258
1985-09-01,494.4107
1985-10-01,493.2528
1985-11-01,497.0282
1985-12-01,498.7835
1986-01-01,500.3743
1986-02-01,500.6977
1986-03-01,505.388
1986-04-01,507.8103
1986-05-01,507.9577
1986-06-01,511.19
1986-07-01,513.0451
1986-08-01,515.1257
1986-09-01,517.7011
1986-10-01,517.5826
1986-11-01,523.799
1986-12-01,539.1168
1987-01-01,548.7618
1987-02-01,546.8722
1987-03-01,548.3297
1987-04-01,549.6669
1987-05-01,551.5681
1987-06-01,554.4961
1987-07-01,553.4587
1987-08-01,554.1473
1987-09-01,561.3366
1987-10-01,563.089
1987-11-01,562.462
1987-12-01,565.0418
1988-01-01,567.0628
1988-02-01,568.2073
1988-03-01,571.342
1988-04-01,577.5209
1988-05-01,583.8327
1988-06-01,588.9836
1988-07-01,593.9652
1988-08-01,594.5614
1988-09-01,595.4824
1988-10-01,599.0318
1988-11-01,601.0262
1988-12-01,604.5612
1989-01-01,606.2767
1989-02-01,617.0794
1989-03-01,616.4336
1989-04-01,619.1395
1989-05-01,624.3147
1989-06-01,624.2715
1989-07-01,631.033
1989-08-01,635.2622
1989-09-01,637.1918
1989-10-01,639.3366
1989-11-01,639.6573
1989-12-01,637.547
1990-01-01,635.7624
1990-02-01,636.522
1990-03-01,638.283
1990-04-01,640.9619
1990-05-01,639.7607
1990-06-01,641.5413
1990-07-01,639.9173
1990-08-01,640.3613
1990-09-01,639.4728
1990-10-01,637.5142
1990-11-01,639.1694
1990-12-01,641.5249
1991-01-01,636.1459
1991-02-01,635.9948
1991-03-01,635.2433
1991-04-01,631.3317
1991-05-01,627.7366
1991-06-01,626.3938
1991-07-01,623.2192
1991-08-01,618.3639
1991-09-01,620.5483
1991-10-01,620.9533
1991-11-01,618.4022
1991-12-01,618.33
1992-01-01,613.6004
1992-02-01,609.8168
1992-03-01,607.367
1992-04-01,604.4211
1992-05-01,602.2047
1992-06-01,601.0787
1992-07-01,599.2587
1992-08-01,597.2343
1992-09-01,598.392
1992-10-01,596.8254
1992-11-01,596.8831
1992-12-01,596.4336
1993-01-01,595.4799
1993-02-01,593.6282
1993-03-01,591.3414
1993-04-01,585.5967
1993-05-01,587.9947
1993-06-01,590.2634
1993-07-01,587.8957
1993-08-01,587.6784
1993-09-01,585.407
1993-10-01,583.8635
1993-11-01,583.9984
1993-12-01,583.6474
1994-01-01,587.4266
1994-02-01,588.1667
1994-03-01,594.8749
1994-04-01,600.4599
1994-05-01,604.8045
1994-06-01,609.0673
1994-07-01,616.4786
1994-08-01,622.0531
1994-09-01,624.9264
1994-10-01,631.5137
1994-11-01,638.3572
1994-12-01,643.7677
1995-01-01,654.3237
1995-02-01,666.7159
1995-03-01,673.6455
1995-04-01,677.5397
1995-05-01,686.2679
1995-06-01,690.6928
1995-07-01,698.5015
1995-08-01,702.7336
1995-09-01,705.9857
1995-10-01,706.1962
1995-11-01,712.5689
1995-12-01,715.062
1996-01-01,721.7926
1996-02-01,724.3036
1996-03-01,727.4301
1996-04-01,732.1464
1996-05-01,736.573
1996-06-01,741.5093
1996-07-01,744.9704
1996-08-01,747.6983
1996-09-01,758.4581
1996-10-01,765.8295
1996-11-01,772.0065
1996-12-01,778.6102
1997-01-01,782.3853
1997-02-01,789.3456
1997-03-01,795.7492
1997-04-01,803.9693
1997-05-01,809.4584
1997-06-01,813.4838
1997-07-01,816.449
1997-08-01,822.3416
1997-09-01,829.8109
1997-10-01,833.7523
1997-11-01,839.8293
1997-12-01,845.1177
1998-01-01,855.6693
1998-02-01,862.541
1998-03-01,866.2691
1998-04-01,864.4323
1998-05-01,876.1085
1998-06-01,891.2165
1998-07-01,897.582
1998-08-01,903.7751
1998-09-01,912.1947
1998-10-01,931.1654
1998-11-01,942.1321
1998-12-01,939.1873
1999-01-01,938.0109
1999-02-01,936.1499
1999-03-01,944.7374
1999-04-01,947.2134
1999-05-01,942.432
1999-06-01,949.8302
1999-07-01,958.4318
1999-08-01,968.9078
1999-09-01,974.9406
1999-10-01,978.057
1999-11-01,1000.1309
1999-12-01,1001.0311
2000-01-01,1003.9561
2000-02-01,1016.8229
2000-03-01,1026.7204
2000-04-01,1035.1555
2000-05-01,1052.0064
2000-06-01,1062.8168
2000-07-01,1068.4742
2000-08-01,1071.484
2000-09-01,1072.6874
2000-10-01,1077.7059
2000-11-01,1080.2408
2000-12-01,1085.198
2001-01-01,1094.676
2001-02-01,1094.4294
2001-03-01,1092.6399
2001-04-01,1089.1507
2001-05-01,1084.0496
2001-06-01,1072.0166
2001-07-01,1063.8392
2001-08-01,1055.6621
2001-09-01,1059.0152
2001-10-01,1044.3567
2001-11-01,1033.7856
2001-12-01,1021.6827
2002-01-01,1012.7741
2002-02-01,1016.883
2002-03-01,1012.3306
2002-04-01,1000.4189
2002-05-01,990.8591
2002-06-01,984.0303
2002-07-01,976.4907
2002-08-01,972.2892
2002-09-01,966.1025
2002-10-01,962.657
2002-11-01,960.3061
2002-12-01,957.6823
2003-01-01,951.0706
2003-02-01,941.6117
2003-03-01,937.8924
2003-04-01,935.3227
2003-05-01,923.9921
2003-06-01,917.3065
2003-07-01,921.2783
2003-08-01,909.5366
2003-09-01,899.7496
2003-10-01,886.8289
2003-11-01,881.627
2003-12-01,883.4928
2004-01-01,876.9591
2004-02-01,874.564
2004-03-01,869.5895
2004-04-01,864.754
2004-05-01,862.8103
2004-06-01,869.1177
2004-07-01,877.8594
2004-08-01,882.906
2004-09-01,886.7352
2004-10-01,889.2263
2004-11-01,897.5021
2004-12-01,906.3225
2005-01-01,921.923
2005-02-01,931.8736
2005-03-01,945.9459
2005-04-01,958.7795
2005-05-01,968.6492
2005-06-01,975.0728
2005-07-01,989.3496
2005-08-01,995.7715
2005-09-01,1000.9124
2005-10-01,1014.4345
2005-11-01,1022.5189
2005-12-01,1036.0991
2006-01-01,1049.1343
2006-02-01,1058.5664
2006-03-01,1068.6941
2006-04-01,1085.14
2006-05-01,1103.2292
2006-06-01,1118.8536
2006-07-01,1130.3385
2006-08-01,1152.2263
2006-09-01,1151.2393
2006-10-01,1161.2984
2006-11-01,1169.8947
2006-12-01,1182.515
2007-01-01,1192.6698
2007-02-01,1205.1675
2007-03-01,1215.7948
2007-04-01,1226.4813
2007-05-01,1244.4984
2007-06-01,1263.9747
2007-07-01,1281.5328
2007-08-01,1307.6297
2007-09-01,1350.14
2007-10-01,1374.7648
2007-11-01,1393.6351
2007-12-01,1417.611
2008-01-01,1441.096
2008-02-01,1449.2475
2008-03-01,1470.8297
2008-04-01,1489.9327
2008-05-01,1491.2024
2008-06-01,1498.3693
2008-07-01,1511.982
2008-08-01,1513.7434
2008-09-01,1531.0862
2008-10-01,1586.4912
2008-11-01,1575.4485
2008-12-01,1558.6889
2009-01-01,1544.9018
2009-02-01,1532.8201
2009-03-01,1511.3496
2009-04-01,1491.3671
2009-05-01,1469.3714
2009-06-01,1436.4575
2009-07-01,1395.3735
2009-08-01,1363.5818
2009-09-01,1337.8495
2009-10-01,1307.7976
2009-11-01,1290.0191
2009-12-01,1265.1656
2010-01-01,1238.755
2010-02-01,1223.6807
2010-03-01,1210.0242
2010-04-01,1207.3378
2010-05-01,1196.6678
2010-06-01,1190.2219
2010-07-01,1189.0568
2010-08-01,1187.9068
2010-09-01,1186.0702
2010-10-01,1184.869
2010-11-01,1186.9766
2010-12-01,1192.3732
2011-01-01,1196.1238
2011-02-01,1199.8666
2011-03-01,1206.7075
2011-04-01,1214.7589
2011-05-01,1228.7954
2011-06-01,1233.6931
2011-07-01,1244.4441
2011-08-01,1263.4025
2011-09-01,1269.8195
2011-10-01,1280.095
2011-11-01,1292.73
2011-12-01,1303.7831
2012-01-01,1321.4884
2012-02-01,1344.5657
2012-03-01,1350.7516
2012-04-01,1368.4675
2012-05-01,1378.7508
2012-06-01,1397.9958
2012-07-01,1413.8761
2012-08-01,1425.9058
2012-09-01,1434.4783
2012-10-01,1449.3477
2012-11-01,1457.0846
2012-12-01,1474.4892
2013-01-01,1485.2033
2013-02-01,1491.6418
2013-03-01,1499.4
2013-04-01,1507.3912
2013-05-01,1510.0952
2013-06-01,1521.7395
2013-07-01,1531.9765
2013-08-01,1533.331
2013-09-01,1540.0606
2013-10-01,1549.5107
2013-11-01,1558.4196
2013-12-01,1574.3745
2014-01-01,1586.8686
2014-02-01,1620.0235
2014-03-01,1633.4661
2014-04-01,1651.1849
2014-05-01,1663.3598
2014-06-01,1676.7223
2014-07-01,1694.9885
2014-08-01,1711.9284
2014-09-01,1725.719
2014-10-01,1730.7876
2014-11-01,1751.3143
2014-12-01,1773.378
2015-01-01,1791.6373
2015-02-01,1808.1293
2015-03-01,1833.5219
2015-04-01,1847.9789
2015-05-01,1863.1821
2015-06-01,1880.0327
2015-07-01,1889.6077
2015-08-01,1903.5328
2015-09-01,1915.313
2015-10-01,1930.167
2015-11-01,1946.063
2015-12-01,1953.0884
2016-01-01,1964.0322
2016-02-01,1987.2805
2016-03-01,2017.6416
2016-04-01,2033.4369
2016-05-01,2047.7735
2016-06-01,2050.6549
2016-07-01,2057.8934
2016-08-01,2051.4168
2016-09-01,2070.2817
2016-10-01,2086.2149
2016-11-01,2089.2556
2016-12-01,2083.9158
2017-01-01,2082.5542
2017-02-01,2082.6192
2017-03-01,2064.7468
2017-04-01,2067.3793
2017-05-01,2071.3579
2017-06-01,2072.8266
2017-07-01,2076.2845
2017-08-01,2084.1409
2017-09-01,2102.9127
2017-10-01,2112.8829
2017-11-01,2106.202
2017-12-01,2105.5328
2018-01-01,2110.132
2018-02-01,2111.948
2018-03-01,2122.9482
2018-04-01,2166.9833
2018-05-01,2173.1758
2018-06-01,2190.9873
2018-07-01,2204.4312
2018-08-01,2209.6488
2018-09-01,2225.9467
2018-10-01,2250.4353
2018-11-01,2274.3028
2018-12-01,2303.8319
2019-01-01,2326.1461
2019-02-01,2331.4555
2019-03-01,2337.1886
2019-04-01,2329.3469
2019-05-01,2333.2885
2019-06-01,2338.8328
2019-07-01,2345.8437
2019-08-01,2364.0036
2019-09-01,2370.6807
2019-10-01,2370.4016
2019-11-01,2369.3712
2019-12-01,2357.6177
2020-01-01,2354.8443
2020-02-01,2349.4572
2020-03-01,2563.9747
2020-04-01,2920.8106
2020-05-01,3034.3126
2020-06-01,2925.5579
2020-07-01,2856.6019
2020-08-01,2815.3658
2020-09-01,2760.6153
2020-10-01,2698.4949
2020-11-01,2638.1206
2020-12-01,2590.5857
2021-01-01,2562.5352
2021-02-01,2584.5971
2021-03-01,2586.1298
2021-04-01,2556.2599
2021-05-01,2543.81
2021-06-01,2478.7759
2021-07-01,2450.7434
2021-08-01,2428.7673
2021-09-01,2417.665
2021-10-01,2421.4468
2021-11-01,2436.057
2021-12-01,2473.3219
2022-01-01,2487.6793
2022-02-01,2496.3575
2022-03-01,2537.3653
2022-04-01,2565.5887
2022-05-01,2607.7357
2022-06-01,2668.973
2022-07-01,2700.0435
2022-08-01,2725.0758
2022-09-01,2749.4994
2022-10-01,2772.74
2022-11-01,2790.8648
2022-12-01,2798.4664
2023-01-01,2811.8497
2023-02-01,2802.8623
2023-03-01,2794.9161
2023-04-01,2770.8716
2023-05-01,2763.2827
2023-06-01,2757.6046
2023-07-01,2756.1772
2023-08-01,2759.4951
2023-09-01,2763.2131
2023-10-01,2773.3585
2023-11-01,2764.6214
2023-12-01,2761.7733
2024-01-01,2758.4344
2024-02-01,2762.2764
2024-03-01,2747.6381
2024-04-01,2748.7185
2024-05-01,2755.5395
2024-06-01,2767.3704
2024-07-01,2762.6477
2024-08-01,2769.3224
2024-09-01,2781.422
2024-10-01,2786.9723
2024-11-01,2788.6214
2024-12-01,2787.6537
2025-01-01,2780.2234
2025-02-01,2784.1591
2025-03-01,2790.1101
2025-04-01,2813.5332
2025-05-01,2819.7926
2025-06-01,2840.0604
